Rk,Lineup,Man,MP,FG,FGA,FG%,3P,3PA,3P%,eFG%,FT,FTA,FT%,PTS,ORB,ORB%,DRB,DRB%,TRB,TRB%,AST,STL,BLK,TOV,PF
2,R. Covington | J. Embiid | D. Saric,3,239:06:00,-0.4,-5.6,0.022,-2.2,-4,-0.025,0.014,3.6,5.4,-0.031,0.5,1.3,4.8,5.6,4.8,3.5,7.4,2.4,-1.9,-0.6,2.3,-2.2
3,R. Covington | J. Embiid | B. Simmons,3,214:53:00,0.5,-7.5,0.041,-2.3,-7,-0.005,0.033,6.6,10.3,-0.058,5.3,0.1,3.5,6.9,3.5,3.7,7.6,3,-1.9,-0.5,3.6,-2.7
4,R. Covington | J. Embiid | J. Redick,3,209:17:00,-0.7,-8.3,0.031,0.5,1.7,0.001,0.04,9.8,11.7,0.035,9,-1.8,-0.2,6.6,-0.2,2.5,5.1,6.3,0.2,0.4,1.5,-2.6
5,J. Embiid | D. Saric | B. Simmons,3,204:17:00,0.2,-5.8,0.028,-2,-5.6,-0.007,0.021,5.5,8.2,-0.044,3.9,1.6,5,5.3,5,3.7,7.5,1.8,-2,-1.1,2.8,-3
6,J. Embiid | M. Fultz | J. Redick,3,201:59:00,-0.6,-10.5,0.043,1.6,1.6,0.035,0.058,5.5,5,0.066,5.8,-1.7,-0.1,7.7,-0.1,2.8,6.1,3.8,-1.1,0.1,5.3,-0.8
7,J. Embiid | J. Redick | D. Saric,3,183:14:00,-1.1,-6.9,0.019,1.8,1.9,0.035,0.033,6,7.3,0.012,5.5,0.7,4.1,7,4.1,3.7,7.7,4.1,-1.8,-0.5,3.1,-1.5
8,R. Covington | J. Embiid | M. Fultz,3,166:32:00,2.8,-4.4,0.052,-2.9,-2.8,-0.062,0.039,7.6,7.4,0.08,10.3,0,3,6,3,3.1,6.5,4.4,1.7,3.2,-2,-2.8
9,J. Embiid | M. Muscala | J. Redick,3,138:18:00,3.4,-3.8,0.06,3.8,2.4,0.097,0.085,6.9,5.5,0.074,17.5,2.4,8.2,9.3,8.2,5.8,13.7,8.6,-2.1,-1.4,3.1,-0.5
10,J. Embiid | M. Fultz | L. Shamet,3,129:43:00,-0.4,-2.7,0.008,0.5,2.1,-0.007,0.012,-0.6,-2.5,0.061,-1.1,3.1,7.7,5,7.7,4.1,9.1,-0.6,-1.6,-1.5,6.1,2.3
Rk,Lineup,Man,MP,FG,FGA,FG%,3P,3PA,3P%,eFG%,FT,FTA,FT%,PTS,ORB,ORB%,DRB,DRB%,TRB,TRB%,AST,STL,BLK,TOV,PF
